model,metric,estimate,lower,upper,resamples_requested,resamples_succeeded,seed,uncertainty_scope,population
Maple stages and design,top_events,58,32,83,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",All eligible pairs
Prevalence,brier_score,0.12688279533908994,0.10843550045111353,0.14360246777881547,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Prevalence,log_loss,0.4214976508000972,0.3755799872018478,0.4628098320077501,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Prevalence,roc_auc,NA,NA,NA,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Prevalence,average_precision,NA,NA,NA,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Prevalence,top_recruitment_fraction,0.13095238095238096,0.0684729064039409,0.18554590570719592,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Prevalence,top_no_new_tally_fraction,0.8690476190476191,0.814454094292804,0.9315270935960591,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Prevalence,top_event_capture_fraction,0.22,0.12138836772983114,0.2912063953488372,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Prevalence,top_events,22,9,35.52499999999998,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Observation design,brier_score,0.12617633434339398,0.10819256456965504,0.1444608155533229,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Observation design,log_loss,0.4203394951988918,0.37474020381555784,0.4711670297607549,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
